PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=15.4 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=95.6 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=29.3 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=166 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=65.6 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=14.6 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=17.2 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=10.4 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=46.6 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=7.54 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=46.4 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=105 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=22.9 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=79.6 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=13.4 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=11.7 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=2144 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=3668 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=3534 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=3450 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=3344 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=3240 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=3133 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=3081 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=2996 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=2903 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=2899 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=2803 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=2708 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=2646 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=2539 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=2443 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=2646 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=2327 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=2109 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=1890 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=1791 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=1726 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=1752 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=1644 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=1425 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=1317 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=1209 ms
