PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=87.9 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=6.66 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=53.6 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=67.7 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=266 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=187 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=193 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=215 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=419 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=491 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=396 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=317 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=245 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=218 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=185 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=245 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=292 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=329 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=269 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=180 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=74.5 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=34.8 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=25.7 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=155 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=56.2 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=120 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=14.7 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=10.3 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=7.19 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=8.17 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=27.2 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=25.7 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=5.60 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=8.71 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=9.12 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=16.6 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=24.4 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=101 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=805 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=750 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=1547 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=1617 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=1662 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=1827 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=1718 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=1499 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=1392 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=1346 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=1282 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=1173 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=1064 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=954 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=1225 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=1125 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=1025 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=938 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=843 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=742 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=690 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=1704 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=1683 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=1703 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=1616 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=1507 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=1407 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=1307 ms
64 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=1199 ms
64 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=980 ms
64 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=871 ms
64 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=762 ms
64 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=689 ms
64 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=582 ms
64 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=477 ms
64 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=368 ms
64 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=277 ms
64 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=205 ms
64 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=111 ms
64 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=92.1 ms
64 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=14.6 ms
64 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=7.60 ms
64 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=8.32 ms
64 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=21.8 ms
64 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=107 ms
64 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=11.0 ms
64 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=6.56 ms
64 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=8.98 ms
64 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=6.33 ms
64 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=8.65 ms
64 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=17.6 ms
64 bytes from 192.168.12.4: icmp_seq=93 ttl=64 time=17.3 ms
64 bytes from 192.168.12.4: icmp_seq=94 ttl=64 time=23.3 ms
64 bytes from 192.168.12.4: icmp_seq=95 ttl=64 time=194 ms
64 bytes from 192.168.12.4: icmp_seq=96 ttl=64 time=91.9 ms
64 bytes from 192.168.12.4: icmp_seq=97 ttl=64 time=11.2 ms
64 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=20.8 ms
64 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=15.8 ms
64 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=28.6 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 97 received, 3% packet loss, time 10313ms
rtt min/avg/max/mdev = 5.606/503.155/1827.773/574.530 ms, pipe 17
