PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=162 ms
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=75.2 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1034 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=818 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=801 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=695 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=186 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=156 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=64.2 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=1361 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=1258 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=1151 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=1046 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=938 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=831 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=635 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=557 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=470 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=385 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=279 ms
1408 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=177 ms
1408 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=145 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=67.5 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=105 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=38.3 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=18.1 ms
1408 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=140 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=35.5 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=271 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=211 ms
1408 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=132 ms
1408 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=42.6 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=21.9 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=431 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=558 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=498 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=605 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=1133 ms
1408 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=1059 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=855 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=747 ms
1408 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=653 ms
1408 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=1370 ms
1408 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=1610 ms
1408 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=1547 ms
1408 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=1452 ms
1408 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=1344 ms
1408 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=1249 ms
1408 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=1163 ms
1408 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=1115 ms
1408 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=1278 ms
1408 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=950 ms
1408 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=775 ms
1408 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=670 ms
1408 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=564 ms
1408 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=484 ms
1408 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=389 ms
1408 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=291 ms
1408 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=192 ms
1408 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=91.1 ms
1408 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=35.2 ms
1408 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=139 ms
1408 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=71.5 ms
1408 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=137 ms
1408 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=36.2 ms
1408 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=198 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 66 received, 34% packet loss, time 10616ms
rtt min/avg/max/mdev = 18.187/576.149/1610.048/469.810 ms, pipe 15
