PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=9.17 ms
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=8.58 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=45.1 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1384 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1403 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=1329 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=1291 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=1289 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=1214 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=1233 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=3572 ms
1408 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=4538 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=4493 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=4538 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=4953 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=5451 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=5354 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=5261 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=5232 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=5143 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=5044 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=4953 ms
1408 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=4851 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=4746 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=4639 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=4533 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=4439 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=4331 ms
1408 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=4237 ms
1408 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=4260 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=4226 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=4122 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=4015 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=3914 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=3887 ms
1408 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=3779 ms
1408 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=3671 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=3664 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=3581 ms
1408 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=3484 ms
1408 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=3377 ms
1408 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=3281 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=3172 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=3070 ms
1408 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=3047 ms
1408 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=2938 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=2834 ms
1408 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=2725 ms
1408 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=2617 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=2510 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=2405 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=2296 ms
1408 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=2190 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=2091 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=1993 ms
1408 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=1889 ms
1408 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=1803 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=1714 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=1612 ms
1408 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=1504 ms
1408 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=1404 ms
1408 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=1303 ms
1408 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=1226 ms
1408 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=1118 ms
1408 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=1381 ms
1408 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=1273 ms
1408 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=1276 ms
1408 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=1184 ms
1408 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=1154 ms
1408 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=1154 ms
1408 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=1272 ms
1408 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=1198 ms
1408 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=1119 ms
1408 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=1071 ms
1408 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=968 ms
1408 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=877 ms
1408 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=780 ms
1408 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=863 ms
1408 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=775 ms
1408 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=682 ms
1408 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=583 ms
1408 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=491 ms
1408 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=385 ms
1408 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=291 ms
1408 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=83.7 ms
1408 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=134 ms
1408 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=44.1 ms
1408 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=17.7 ms
1408 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=31.7 ms
1408 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=46.7 ms
1408 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=19.5 ms
1408 bytes from 192.168.12.4: icmp_seq=93 ttl=64 time=9.79 ms
1408 bytes from 192.168.12.4: icmp_seq=94 ttl=64 time=7.16 ms
1408 bytes from 192.168.12.4: icmp_seq=95 ttl=64 time=75.0 ms
1408 bytes from 192.168.12.4: icmp_seq=96 ttl=64 time=17.3 ms
1408 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=2000 ms
1408 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=2070 ms
1408 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=2028 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 10514ms
rtt min/avg/max/mdev = 7.166/2261.628/5451.618/1675.540 ms, pipe 51
