PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=282 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=165 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=268 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=168 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=61.5 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=50.3 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=54.4 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=46.8 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=28.3 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=27.0 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=9.27 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=10.2 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=43.0 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=15.0 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=9.56 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=6.74 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=21.5 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=17.4 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=62.2 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=18.0 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=75.7 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=53.3 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=154 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=46.6 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=6.83 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=13.4 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=93.3 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=35.7 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=78.0 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=23.9 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=33.2 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=8.31 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=7.60 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=28.5 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=34.9 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=93.3 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=6.60 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=37.4 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=390 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=292 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=182 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=74.3 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=154 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=51.0 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=401 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=427 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=217 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=130 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=25.6 ms
