PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=12.9 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=29.3 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=78.9 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=40.8 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=45.8 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=46.1 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=13.9 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=56.9 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=53.2 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=73.0 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=22.5 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=39.5 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=43.0 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=51.3 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=3.09 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=5.93 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=17.0 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=38.8 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=15.9 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=49.2 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=10.4 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=17.6 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=106 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=65.7 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=2.89 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=20.1 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=7.82 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=68.2 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=57.0 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=23.9 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=20.1 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=10.1 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=6.00 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=72.8 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=7.63 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=118 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=14.6 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=36.9 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=218 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=114 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=8.15 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=8.04 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=12.2 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=7.70 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=11.9 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=8.46 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=36.7 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=19.2 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=7.63 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=26.8 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=37.6 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=139 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=61.3 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=15.7 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=9.19 ms
