PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=37.0 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=283 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=322 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=223 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=139 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=30.5 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=23.1 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=20.5 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=84.6 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=105 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=45.2 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=261 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=264 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=172 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=93.9 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=50.2 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=36.1 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=66.7 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=68.4 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=32.8 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=70.7 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=62.6 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=9.76 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=13.4 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=11.4 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=3.12 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=6.21 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=54.4 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=25.7 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=8.21 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=23.0 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=76.9 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=86.4 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=28.4 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=36.8 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=33.6 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=21.8 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=329 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=233 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=149 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=41.9 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=38.6 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=22.5 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=9.69 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=160 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=2214 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=2447 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=3693 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=3586 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=3488 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=3408 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=3457 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=3377 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=3569 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=3565 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=4232 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=4183 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=4190 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=4082 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=4024 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=4042 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=3954 ms
