PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=79.5 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=43.7 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=85.4 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=38.0 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=52.2 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=181 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=42.6 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=35.8 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=15.9 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=42.4 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=52.4 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=46.9 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=56.4 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=24.3 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=5.48 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=24.3 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=28.6 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=32.5 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=65.9 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=4044 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=3959 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=3854 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=3635 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=3705 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=3596 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=3487 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=3277 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=3076 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=2976 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=2867 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=2778 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=2669 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=2576 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=2486 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=2378 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=2268 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=2161 ms
