PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=1726 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=1630 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=1572 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1476 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1367 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=1258 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=1149 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=1040 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=931 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=823 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=714 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=639 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=530 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=469 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=363 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=259 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=316 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=129 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=181 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=145 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=233 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=277 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=433 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=347 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=676 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=689 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=632 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=542 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=437 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=328 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=223 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=128 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=74.1 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=3.91 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=14.3 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=8.52 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=4.54 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=4.61 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=4.65 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=7.99 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=172 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=70.2 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=5.75 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=7.87 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=6.34 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=12.9 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=27.8 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=23.7 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=17.0 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=6.79 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=45.6 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=15.8 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=17.1 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=4.69 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=24.6 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=41.6 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=45.9 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=69.7 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=13.9 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=5.99 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=13.8 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=5.00 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=20.1 ms
