PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=191 ms
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=140 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=244 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=155 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=56.4 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=72.8 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=22.2 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=81.7 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=246 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=197 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=1531 ms
1408 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=1452 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=1405 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=1481 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=1382 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=1333 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=1250 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=1161 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=1099 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=1146 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=1139 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=1231 ms
1408 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=1141 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=1225 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=1127 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=1054 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=1568 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=1657 ms
1408 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=1878 ms
1408 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=3102 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=3596 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=3581 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=3628 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=3804 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=4034 ms
1408 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=4127 ms
1408 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=4237 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=7884 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=8416 ms
1408 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=8313 ms
1408 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=8215 ms
1408 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=8163 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=8088 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=7993 ms
1408 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=7822 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=7748 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=7991 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=7893 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=7965 ms
1408 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=7888 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=7814 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=7720 ms
1408 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=7626 ms
1408 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=7609 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=8598 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=8593 ms
1408 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=8591 ms
1408 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=8705 ms
1408 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=8653 ms
1408 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=8900 ms
1408 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=11220 ms
1408 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=11200 ms
1408 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=11236 ms
1408 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=11188 ms
1408 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=11186 ms
1408 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=11088 ms
1408 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=11017 ms
1408 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=10976 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 68 received, 32% packet loss, time 10592ms
rtt min/avg/max/mdev = 22.201/4898.634/11236.864/3904.974 ms, pipe 63
