PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=16.5 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=1787 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=1922 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1834 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1756 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=1736 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=1628 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=1529 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=1424 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=1315 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=1211 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=1106 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=1017 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=908 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=800 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=584 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=480 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=393 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=183 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=84.4 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=19.9 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=6.59 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=58.8 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=6.45 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=103 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=7.21 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=10.5 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=7.77 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=32.4 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=29.6 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=10.5 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=10.3 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=10.6 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=12.1 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=72.3 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=23.0 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=112 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=10.6 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=162 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=73.9 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=389 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=285 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=2450 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=2454 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=2665 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=2764 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=2680 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=2581 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=2473 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=2363 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=2254 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=2238 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=2140 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=2039 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=2031 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=1922 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=1820 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=1715 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=1606 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=1502 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=1393 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=1284 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=1175 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=1078 ms
64 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=873 ms
64 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=767 ms
64 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=668 ms
64 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=582 ms
64 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=473 ms
64 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=375 ms
64 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=270 ms
64 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=184 ms
64 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=137 ms
64 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=118 ms
64 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=18.5 ms
64 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=46.0 ms
64 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=28.7 ms
64 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=14.7 ms
64 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=34.3 ms
64 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=15.1 ms
64 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=24.3 ms
64 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=169 ms
64 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=100 ms
64 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=324 ms
64 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=239 ms
64 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=145 ms
64 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=70.4 ms
64 bytes from 192.168.12.4: icmp_seq=93 ttl=64 time=19.8 ms
64 bytes from 192.168.12.4: icmp_seq=94 ttl=64 time=25.8 ms
64 bytes from 192.168.12.4: icmp_seq=95 ttl=64 time=43.4 ms
64 bytes from 192.168.12.4: icmp_seq=96 ttl=64 time=20.0 ms
64 bytes from 192.168.12.4: icmp_seq=97 ttl=64 time=7.20 ms
64 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=63.6 ms
64 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=12.3 ms
64 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=26.0 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 95 received, 5% packet loss, time 10425ms
rtt min/avg/max/mdev = 6.459/775.990/2764.711/878.210 ms, pipe 26
